# BEGIN PLOT

# END PLOT

# BEGIN HISTO2D //global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_ncharged2D
Path=//global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_ncharged2D
ScaledBy=1.00000000000000000e+00
Title=Rivet
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
1.700000e+01	1.800000e+01	2.080896e+03	5.000000e+03	3.425709e-04	3.425709e-04	3.425709e-04
1.800000e+01	1.900000e+01	1.500000e+02	3.604217e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	1.900000e+01	3.604217e+02	8.660254e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	1.900000e+01	8.660254e+02	2.080896e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	1.900000e+01	2.080896e+03	5.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+01	2.000000e+01	1.500000e+02	3.604217e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+01	2.000000e+01	3.604217e+02	8.660254e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+01	2.000000e+01	8.660254e+02	2.080896e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+01	2.000000e+01	2.080896e+03	5.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO2D

